,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
11,12,Phoenix Suns,2000,West,1,82,53,29,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.477,17.9,23.6,0.759,12.5,31.2,25.6,9.1,5.3,16.7,24.1,98.9,0.646341463,-0.028037914,0.210963741,0.014004883,0.145036336,0.210963741,0.145036336,0.145036336,0.056303425,-0.042127642,0.114509029,-0.247605011,-0.288010692,0.085037353,0.028037914,0.129618258,0.56385353,0.359800884,0.070595875,0.288010692,0.145036336,0.085037353,0.310125001
12,13,Minnesota Timberwolves,2000,West,1,82,50,32,242.7,39.3,84.3,0.467,3,8.7,0.346,36.3,75.5,0.481,16.8,21.6,0.78,12.4,30.1,26.9,7.6,5.4,13.9,23.3,98.5,0.609756098,0.455271838,0.15785437,0.074818346,0.15785437,-0.15785437,-0.15785437,-0.015762501,0.455271838,0.455271838,0.080630419,-0.108742117,-0.15785437,0.069318593,-0.003920756,-0.011793901,0.455271838,-0.015762501,0.036287453,-0.108742117,-0.007849392,0.015762501,0.059060637
13,14,Charlotte Hornets,2000,East,1,82,49,33,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30,0.758,10.8,32.1,24.7,8.9,5.9,14.7,20.4,98.4,0.597560976,-0.104579864,-0.240768845,-0.152117462,-0.050903844,-0.12763826,-0.082567852,-0.082567852,-0.061317012,0,0,0.406572084,0.406572084,0.040598133,-0.330453718,0.303375009,0.280077828,0.192703254,0.178538007,-0.12763826,-0.406572084,0.020217011,0.093462508
14,15,New Jersey Nets,2000,East,0,82,31,51,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,19.5,24.9,0.784,12.7,28.2,20.6,8.8,4.8,13.6,23.3,98,0.37804878,0.057899782,-0.064198897,0.070665874,-0.14363568,0.114976404,0.114976404,-0.011192982,-0.133299692,-0.045713013,-0.106688573,0.070665874,-0.022476823,0.155062788,0.039786158,-0.649203106,-0.133299692,0.084218582,-0.016817726,-0.649203106,-0.011192982,0,-0.0988461
15,16,Portland Trail Blazers,2000,West,1,82,59,23,241.2,36.8,78.4,0.47,5,13.8,0.361,31.9,64.7,0.493,18.8,24.7,0.76,11.8,31.2,23.5,7.7,4.8,15.2,22.7,97.5,0.719512195,-0.059288986,0.023016115,-0.136497985,0.664779598,0.011461538,0.011461538,0.028858685,-0.011461538,-0.136497985,0.664779598,-0.023016115,-0.034762175,0.046809816,-0.059288986,0.052986274,0.08623926,-0.005725016,-0.017221237,-0.011461538,-0.046809816,-0.011461538,0.23049606
16,17,Toronto Raptors,2000,East,1,82,45,37,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,19.3,25.2,0.765,13.4,29.9,23.7,8.1,6.6,13.9,24.3,97.2,0.548780488,-0.256063247,-0.154083775,0.169605166,-0.344740001,0.095490758,0.053946623,0.109715803,-0.185595629,0.109715803,-0.372166201,0.109715803,0,0.138965269,0.237240528,-0.109715803,0.256063247,0.095490758,0.439105465,-0.372166201,0.202133023,-0.053946623,0.067640807
17,18,Cleveland Cavaliers,2000,East,0,82,32,50,242.1,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,20.2,26.9,0.75,12.3,30.5,23.7,8.7,4.4,17.4,27.1,97,0.390243902,0.199227318,-0.082483839,-0.028878606,-0.108205473,-0.043616533,-0.090792722,0.126999158,0.028878606,0.147723647,-0.171265721,0.199227318,0.147723647,0,-0.043616533,0.014380935,0.1370753,0.090792722,-0.126999158,0.215799265,0.834107239,-0.043616533,-0.108205473
18,19,Washington Wizards,2000,East,0,82,29,53,241.5,36.7,81.5,0.451,4.1,10.9,0.376,32.6,70.6,0.462,19.1,25.7,0.743,13,29.7,21.6,7.2,4.7,16.1,26.2,96.6,0.353658537,-0.029839228,0.029839228,-0.090500634,0.029839228,-0.188387252,-0.263512558,0.413379907,0.206148499,0.243596785,-0.188387252,0,0.059920675,-0.137945668,0.188387252,-0.206148499,-0.137945668,-0.243596785,-0.121865737,0.188387252,0.487732029,-0.121865737,-0.306514128
19,20,Utah Jazz,2000,West,1,82,55,27,240.9,36.1,77.8,0.464,4,10.4,0.385,32.1,67.4,0.476,20.3,26.2,0.773,11.4,29.6,24.9,7.7,5.4,14.9,24.5,96.5,0.670731707,-0.1978162,-0.183275111,-0.339221562,0.287509062,-0.21318305,-0.287509062,0.339221562,0.041675313,-0.03118252,0.052254463,0.339221562,0.131024854,0.131024854,-0.16942353,-0.183275111,0.339221562,-0.010366294,0.095942325,-0.107354655,0.1978162,-0.107354655,0.287509062
20,21,San Antonio Spurs,2000,West,1,82,53,29,242.1,36,78,0.462,4,10.8,0.374,32,67.2,0.476,20.1,27,0.746,11.3,32.5,22.2,7.5,6.7,15,20.9,96.2,0.646341463,0.271217903,-0.201103434,-0.271217903,0.233152413,-0.201103434,-0.201103434,0.201103434,0,-0.079955917,0.049293562,0.216544748,0.233152413,-0.029415621,-0.201103434,0.393710665,-0.029415621,-0.079955917,0.393710665,-0.059377322,-0.320000212,-0.123600578,0.216544748
