,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
7,8,Denver Nuggets,2005,West,1,82,49,33,240.9,37,80.7,0.459,3.9,11.5,0.34,33.1,69.2,0.479,21.5,28.2,0.763,11.8,30.2,23.9,9.1,6,14.9,22.9,99.5,0.597560976,-0.14011963,0.112474958,0.019285215,0.150477152,-0.14011963,-0.121217961,-0.161625859,0.771200076,0.14011963,0.13040396,0.14011963,0.150477152,0,-0.052349499,0.045579663,0.269753521,0.269753521,0.187209705,0.088280809,0.019285215,0.096056839,0.088280809
8,9,Orlando Magic,2005,East,0,82,36,46,240.3,37,81.5,0.454,3.9,11.2,0.349,33.1,70.3,0.471,21.6,28.5,0.759,12.7,31,19.3,7.7,5.4,16.1,23.6,99.5,0.43902439,-0.61964915,0.090372154,0.077180411,0.070932473,-0.112584286,-0.129864259,-0.031258461,0.61964915,0.176806025,0.020706196,0.150420544,0.176806025,-0.015495417,0.077180411,0.112584286,-0.150420544,0.02595688,0.042062136,0.194065637,0.083648109,0.077180411,-0.047590716
9,10,Philadelphia 76ers,2005,East,1,82,43,39,242.1,35.9,82.1,0.437,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,20.9,9.2,3.9,15.5,22.9,99.1,0.524390244,0.036823427,-0.014631989,0.159716395,-0.118666422,0.051954315,0.083668786,-0.067514019,-0.051954315,0.007309148,-0.159716395,0.118666422,0.067514019,0.198074684,-0.128205411,0.128205411,-0.075505191,0.879058098,-0.159716395,0.118666422,0.021982394,0.083668786,-0.007309148
10,11,Seattle SuperSonics,2005,West,1,82,52,30,240.9,35.1,79.2,0.444,8.1,22.2,0.365,27,57,0.474,20.5,26,0.79,12.7,28.2,18.1,6.7,4.1,13.6,23.7,98.9,0.634146341,-0.131454149,-0.08282122,-0.055567232,-0.030307423,0.253071032,0.253071032,0.151630358,-0.253071032,-0.253071032,0.068863369,0.055567232,0.006015775,0.206439872,0.090116353,-0.175632011,-0.723506402,-0.122339329,-0.09766808,-0.141171125,0.122339329,0.055567232,0.131454149
11,12,Los Angeles Lakers,2005,West,0,82,34,48,241.2,35.3,80.8,0.437,7.9,22.1,0.355,27.5,58.7,0.467,20.3,26.1,0.777,12.5,30.6,20.4,6.2,4.2,14.3,21.9,98.7,0.414634146,-0.128868002,-0.116294303,0.068300038,-0.182771921,0.355321224,0.386322863,0.011257667,-0.386322863,-0.328670332,-0.022536423,0.080020867,0.033857635,0.154988134,0.116294303,0.141749707,-0.168639938,-0.473586448,-0.128868002,0.011257667,-0.197464025,0.068300038,-0.141749707
12,13,Golden State Warriors,2005,West,0,82,34,48,242.7,36.9,85.8,0.43,7.6,21.6,0.352,29.3,64.2,0.457,17.2,23.8,0.722,13,29.7,22.1,7.8,5.1,13.6,22.4,98.7,0.414634146,0.142848993,0.090000414,0.786222132,-0.224334707,0.164774138,0.190856327,-0.00653724,-0.074832655,-0.013086727,-0.164774138,-0.246234017,-0.190856327,-0.190856327,0.164774138,-0.013086727,0.097927911,0.060383968,0.013086727,-0.153408267,-0.019660868,0.039661305,-0.082312962
13,14,New York Knicks,2005,East,0,82,33,49,242.4,36.3,80.5,0.451,5.4,15.1,0.356,30.9,65.4,0.473,19.3,25.1,0.767,11.8,29.2,20.3,7.7,3.2,14.7,23.7,97.3,0.402439024,0.107255585,0.071960978,0.007790581,0.063601322,-0.007790581,-0.039248883,0.023430313,0.007790581,0.039248883,0.063601322,-0.023430313,-0.071960978,0.0553764,-0.063601322,-0.089179814,-0.147272136,0.039248883,-0.936959189,0.071960978,0.158432542,0.023430313,-0.136649942
14,15,Milwaukee Bucks,2005,East,0,82,30,52,241.2,36.1,80.2,0.45,4,11.3,0.351,32.2,69,0.467,21,27.2,0.772,12,29.3,21,6.5,3.5,13.8,21.9,97.2,0.365853659,-0.153288389,0.053816795,-0.040273631,0.067463676,-0.21740706,-0.29261413,-0.040273631,0.21740706,0.253141462,-0.026807058,0.168611168,0.184358267,0.123691472,-0.013390986,-0.10932232,-0.067463676,-0.390953108,-0.563330717,-0.123691472,-0.234883306,0.013390986,-0.29261413
15,16,Minnesota Timberwolves,2005,West,0,82,44,38,240.9,37.1,80.8,0.459,4.8,14,0.345,32.3,66.9,0.483,17.7,22.2,0.796,11.5,31.5,23.4,5.6,5.5,13.2,21.6,96.8,0.536585366,-0.096154469,0.103262124,0.026696805,0.103262124,-0.050371333,-0.050371333,-0.06058105,0.096154469,0.050371333,0.12846915,-0.110912716,-0.529221593,0.529221593,-0.06058105,0.110912716,0.12846915,-0.529221593,0.055406475,-0.185113296,-0.096154469,-0.004400345,0.008808934
16,17,Cleveland Cavaliers,2005,East,0,82,42,40,242.1,36.5,81.5,0.447,3.7,11,0.332,32.8,70.5,0.465,19.9,26.5,0.752,13.6,28.7,22.6,8,5.6,13.9,22.6,96.5,0.512195122,0.052574188,0.119457062,0.156324543,0,-0.329372916,-0.304668278,-0.304668278,0.329372916,0.439001496,-0.06331224,0.031385088,0.074177123,-0.096392296,0.439001496,-0.197272184,0.228033084,0.1436697,0.183043672,-0.052574188,-0.010435545,-0.031385088,-0.041939225
17,18,San Antonio Spurs,2005,West,1,82,59,23,241.5,35.6,78.7,0.453,6.2,17,0.363,29.5,61.6,0.478,18.7,25.9,0.724,12,30.4,21.6,7.5,6.6,13.7,20.9,96.2,0.719512195,-0.029134844,-0.051530255,-0.082985866,0.082985866,0.051530255,0.043982507,0.108597411,-0.066962957,-0.117697845,0.117697845,-0.108597411,-0.00724949,-0.182726706,-0.00724949,0.066962957,0.029134844,-0.01451256,0.871883067,-0.117697845,-0.182726706,-0.036522868,0.27306185
18,19,Los Angeles Clippers,2005,West,0,82,37,45,244.3,35.7,77.7,0.459,2.8,8.2,0.345,32.8,69.5,0.473,21.6,27.7,0.778,12,29.9,23.2,7.3,5.1,15.7,22.2,95.7,0.451219512,0.541633524,-0.022688833,-0.122044139,0.10568395,-0.541633524,-0.541633524,-0.062001869,0.142143655,0.122044139,0.036766391,0.131482161,0.078994038,0.073116569,-0.004503547,0.018099226,0.113513972,-0.022688833,0.009015531,0.085134472,-0.032011762,-0.032011762,-0.032011762
19,20,Houston Rockets,2005,West,1,82,51,31,242.1,34.7,78.3,0.443,6.7,18.5,0.364,28,59.7,0.468,18.9,24.2,0.781,10.7,31.7,21.1,6.9,4.6,13.8,22,95.1,0.62195122,0.058326313,-0.23544074,-0.203070424,-0.106938547,0.252982114,0.218855673,0.23544074,-0.291811014,-0.291811014,0.011577295,-0.132526822,-0.291811014,0.218855673,-0.33800194,0.397291342,-0.011577295,-0.187961182,-0.023176277,-0.106938547,-0.145774265,-0.106938547,0.218855673
20,21,Chicago Bulls,2005,East,1,82,47,35,241.8,34.7,80.4,0.432,6.2,17.5,0.357,28.5,62.9,0.453,18.7,25,0.75,12.2,31.6,21.3,7,4.5,16.7,24.7,94.5,0.573170732,-0.006998941,-0.142333423,-0.006998941,-0.176411527,0.049749328,0.064648665,0.042462437,-0.096356811,-0.080117809,-0.204335805,-0.104844198,-0.080117809,-0.080117809,0.035260609,0.204335805,0.006998941,-0.080117809,-0.035260609,0.8417501,0.294430797,-0.080117809,0.080117809
21,22,Charlotte Bobcats,2005,East,0,82,18,64,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,21.9,8.5,5.4,14.5,23.1,94.3,0.219512195,0.084973698,0.024805029,0.180196591,-0.155571149,-0.134870571,-0.211805132,0.092458427,0.10020642,0.74230994,-0.259648211,-0.134870571,-0.024805029,-0.259648211,0.180196591,-0.144840086,0.07065309,0.144840086,0.05038842,0.031095096,0.07065309,-0.084973698,-0.232481319
22,23,Memphis Grizzlies,2005,West,1,82,45,37,240.3,34.2,76.5,0.447,6.5,18.1,0.357,27.7,58.4,0.475,18.6,24.7,0.754,10.8,28.1,20.9,8.5,5.8,14.6,23.3,93.4,0.548780488,-0.777007857,-0.188619551,-0.271784991,0,0.104890385,0.088945638,0.039196487,-0.188619551,-0.221705575,0.088945638,-0.122130833,-0.104890385,-0.045922916,-0.15161037,-0.221705575,-0.06673976,0.15161037,0.15161037,0.045922916,0.088945638,-0.104890385,0.045922916
23,24,Detroit Pistons,2005,East,1,82,54,28,243.4,34.8,78.3,0.444,4.4,12.8,0.345,30.3,65.5,0.463,19.4,26.2,0.739,12.9,30.6,21.8,7,6.1,13.8,20,93.3,0.658536585,0.390238151,-0.18462427,-0.199465275,-0.057290835,-0.156558901,-0.156558901,-0.156558901,-0.011371761,0.080831859,-0.156558901,-0.011371761,0.057290835,-0.18462427,0.248490873,0.143186306,0.092837618,-0.130174048,0.390238151,-0.105040046,-0.478386131,-0.214970285,0.286630436
24,25,Indiana Pacers,2005,East,1,82,44,38,242.7,32.5,75.2,0.432,6.6,19.2,0.344,25.9,56,0.463,21.3,26.9,0.792,10.6,29.5,18.2,7.5,4.4,14.3,23,93,0.536585366,0.084890095,-0.467223952,-0.467223952,-0.097919431,0.073438705,0.084890095,-0.073438705,-0.467223952,-0.467223952,-0.053484057,0.073438705,0.044470395,0.163427507,-0.133314166,-0.019571843,-0.163427507,-0.007776978,-0.027613989,0.00388485,0.031715427,-0.091165097,0.007776978
25,26,Utah Jazz,2005,West,0,82,26,56,241.2,34.5,76.8,0.449,3,9.3,0.328,31.4,67.5,0.465,21,27.7,0.757,12.8,27.4,22.3,6.6,4.6,15.8,26.7,93,0.317073171,-0.057487702,-0.126582259,-0.172337688,0.015103809,-0.211265761,-0.211265761,-0.172337688,0.025300884,0.069139829,-0.030468481,0.063234199,0.08808822,-0.025300884,0.094935572,-0.603989042,0.094935572,-0.126582259,-0.010053443,0.117850806,0.603989042,-0.117850806,-0.146619034
26,27,Portland Trail Blazers,2005,West,0,82,27,55,240.6,35.3,78.3,0.451,5.1,14.2,0.362,30.2,64.2,0.471,17.2,23.7,0.725,11.8,29.3,21,7.1,6.6,16,20.8,92.9,0.329268293,-0.209760633,-0.068653277,-0.11657108,0.054255967,-0.054255967,-0.061387285,0.068653277,-0.019987545,-0.013304171,0.026708931,-0.250325348,-0.228062167,-0.135153022,-0.054255967,-0.054255967,-0.03348179,-0.047239587,0.7992857,0.194027523,-0.194027523,-0.194027523,-0.167511962
27,28,Atlanta Hawks,2005,East,0,82,13,69,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.463,17.3,24.3,0.711,13.4,28.5,19.7,7.7,4.2,16.1,24.5,92.7,0.158536585,0.025092502,-0.009970642,0.057014224,-0.057014224,-0.157202437,-0.080862581,-0.599014496,0.080862581,0.134973567,-0.068570383,-0.145411458,-0.108835168,-0.170918289,0.170918289,-0.116880169,-0.108835168,0.025092502,-0.057014224,0.187603146,0.170918289,-0.170918289,-0.599014496
28,29,New Jersey Nets,2005,East,1,82,42,40,242.7,33.6,78.3,0.429,5.3,14.7,0.362,28.3,63.6,0.444,19,24.9,0.763,10.4,29.1,21.6,7.9,3.8,14.2,24.2,91.4,0.512195122,0.206280631,-0.323949813,-0.165582833,-0.397124416,-0.037938573,-0.067101245,0.097518219,-0.153262816,-0.087197275,-0.323949813,-0.077067629,-0.129964809,0,-0.397124416,-0.129964809,0.037938573,0.108061855,-0.297953488,-0.028391213,0.237941565,-0.397124416,-0.037938573
29,30,New Orleans Hornets,2005,West,0,82,18,64,243,33.1,80,0.415,5.1,16,0.315,28.1,63.9,0.44,17.1,22.3,0.766,12.4,27.8,21,6.7,3.8,14.8,23,88.4,0.219512195,0.110758517,-0.159593755,-0.019112719,-0.456263613,-0.030971433,0.011409674,-0.159593755,-0.077150643,-0.026966208,-0.456263613,-0.456263613,-0.159593755,0.019112719,0.026966208,-0.159593755,-0.019112719,-0.077150643,-0.119739593,0.043427189,0.030971433,-0.456263613,-0.142895522
0,1,Phoenix Suns,2006,West,1,82,54,28,243.4,41.8,87.4,0.479,10.2,25.6,0.399,31.6,61.8,0.511,14.5,18,0.806,9.5,32.3,26.6,6.7,5,13.3,20.5,108.4,0.658536585,0.272280664,0.272280664,0.272280664,0.272280664,0.272280664,0.272280664,0.272280664,0.057063786,-0.016092401,0.095239446,-0.272280664,-0.272280664,0.272280664,-0.272280664,0.077690516,0.272280664,-0.03116851,0.013735312,-0.077690516,-0.077690516,0.272280664,0.066096444
1,2,Seattle SuperSonics,2006,West,0,82,35,47,241.8,37.5,81.8,0.459,7.4,19.9,0.371,30.1,62,0.487,20.1,25.7,0.785,12.4,27.2,20.7,7.6,3.7,14.7,23.6,102.6,0.426829268,-0.087198557,0.355578669,0.237945063,0.12996672,0.297957868,0.323954576,0.108063443,-0.00944022,-0.047559748,0.206283663,0,-0.108063443,0.275609518,0.206283663,-0.355578669,0,0.206283663,-0.206283663,0.118865515,0.12996672,0.397130254,-0.108063443
2,3,Washington Wizards,2006,East,1,82,42,40,241.8,36.3,81.2,0.447,6.1,17,0.357,30.2,64.2,0.471,23,30.4,0.757,12.6,28.6,18.6,8,4.1,13.9,22.6,101.7,0.512195122,-0.062728946,0.041201531,0.128378271,-0.07773874,0.034213558,0.00679111,0.00679111,0.020424387,0.055441769,-0.093495531,0.816754642,0.285687783,0.04827204,0.198268128,-0.138106884,-0.148396457,0.233046623,-0.093495531,-0.07773874,-0.04827204,0.233046623,0.034213558
3,4,Toronto Raptors,2006,East,0,82,27,55,243.4,36.7,81,0.454,7.4,19.8,0.375,29.3,61.2,0.479,20.2,25.5,0.791,10.5,27.9,19.4,6.5,3.3,13.1,24,101.1,0.329268293,0.604993946,0.126792864,0.081669764,0,0.158771655,0.146862976,0.095093523,-0.109921576,-0.069254862,0.025342979,0.025342979,-0.069254862,0.189475828,-0.05196492,-0.126792864,-0.057583348,-0.118046884,-0.604993946,-0.21161726,0.109921576,0.146862976,-0.126792864
4,5,Denver Nuggets,2006,West,1,82,44,38,243,37.5,81.4,0.461,4.3,13.1,0.325,33.3,68.2,0.487,21,28.2,0.744,11,30.3,23.4,8.5,5.6,14.8,22.7,100.3,0.536585366,0.157770121,0.188280612,0.10922819,0.08115459,-0.094493672,-0.068818002,-0.601177637,0.601177637,0.210282376,0.10922819,0.10922819,0.087678194,-0.004998642,0.004998642,0.046172054,0.171535503,0.210282376,0.094493672,0.08115459,-0.020088952,0.125993053,0.035530953
5,6,Miami Heat,2006,East,1,82,52,30,240.9,37.1,77.5,0.478,6.1,17.6,0.345,31,59.9,0.517,19.7,28.2,0.7,10.5,32.6,20.6,6.4,5.4,14.5,22.8,99.9,0.634146341,-0.211749819,0.180149533,-0.043860733,0.259580403,0.031086976,0.050375261,-0.056996505,0.116646511,-0.155530521,0.742116084,-0.024798551,0.108233231,-0.259580403,-0.063742791,0.259580403,-0.018557918,-0.232420606,0.100180251,0.012352578,-0.00617051,0.134835349,0.155530521
6,7,Los Angeles Lakers,2006,West,1,82,45,37,242.1,36.5,80.6,0.453,6.7,19.3,0.349,29.8,61.3,0.486,19.7,26.5,0.745,11.8,30.3,21.1,7.7,4.3,13.9,23.1,99.4,0.548780488,0.033898922,0.233130639,0.233130639,-0.10273581,0.274922561,0.426819147,-0.085311335,-0.138243772,-0.193841159,0.253665461,-0.068054143,-0.0169336,0.0169336,0.193841159,0.156414314,0.233130639,0.426819147,-0.138243772,-0.193841159,0.085311335,0.297022184,0.193841159
7,8,Philadelphia 76ers,2006,East,0,82,38,44,242.7,36.6,79.8,0.458,4.6,12.6,0.364,32,67.3,0.476,21.6,28.4,0.76,10.6,29.6,20.2,7.9,4.9,14.1,20.9,99.4,0.463414634,0.236068976,0.236068976,0.082512405,0.132880449,-0.159813861,-0.219439654,0.082512405,0.398351451,0.292589666,0.011608187,0.314576729,0.338903845,0.219439654,-0.082512405,-0.023238119,-0.058481948,0.338903845,0.03491183,-0.070426635,-0.314576729,0.203612285,-0.070426635
8,9,Dallas Mavericks,2006,West,1,82,60,22,242.4,36,77.7,0.462,5.1,13.6,0.374,30.9,64.2,0.481,22.2,28.3,0.783,12.6,29.6,18,7.2,6,13.6,22.4,99.1,0.731707317,0.107088716,-0.010366536,-0.052226522,0.195967652,-0.11866711,-0.11866711,0.155290792,0.142719634,0.084631092,0.073686601,0.355742443,0.243269677,0.226525136,0.302653552,-0.020752492,-0.436098445,0.031177543,0.355742443,-0.243269677,-0.095754868,0.142719634,0.355742443
9,10,Sacramento Kings,2006,West,1,82,44,38,241.8,36,79.3,0.454,6,17.2,0.351,30,62.1,0.483,20.8,26.5,0.784,10.4,30.2,22.3,7.4,3.6,14.6,20.4,98.9,0.536585366,-0.129269674,-0.013994889,0.070506134,0,0.013994889,0.056243809,-0.013994889,-0.070506134,-0.04208988,0.14457044,0.264557563,-0.013994889,0.352747589,-0.227211621,0.070506134,0.352747589,0.227211621,-0.352747589,0.114252506,-0.588735643,0.160201345,0.099477375
10,11,Golden State Warriors,2006,West,0,82,34,48,241.8,35.8,82.7,0.433,7.6,22.3,0.341,28.2,60.4,0.467,19.2,26.7,0.718,12,30.3,20.7,7.4,4.4,14.1,23.7,98.5,0.414634146,-0.061102665,-0.047020562,0.227004766,-0.795579844,0.278281176,0.278281176,-0.09107161,-0.1667353,-0.125049996,-0.125049996,-0.075723322,0.033326553,-0.1667353,0.107397468,0.061102665,0,0.107397468,-0.026585096,-0.040133359,0.107397468,0.061102665,-0.09107161
11,12,Boston Celtics,2006,East,0,82,33,49,242.4,36,77.1,0.467,5.7,15.7,0.362,30.3,61.4,0.494,20.3,26.9,0.755,9.9,29.7,20.9,7,5.1,16.6,24.8,98,0.402439024,0.125818688,-0.012179658,-0.167681505,0.30699387,-0.048948611,-0.061361017,0.048948611,0.061361017,-0.112502534,0.355588099,0.125818688,0.125818688,0.061361017,-0.45876334,0.012179658,0.099433193,-0.036630541,0.112502534,0.512372697,0.330063358,0.086574495,-0.247690665
12,13,Milwaukee Bucks,2006,East,1,82,40,42,242.1,36.3,80.1,0.453,6.2,16.3,0.38,30.1,63.8,0.472,19,25.8,0.738,11.3,29.9,21.6,7.3,3.3,14.6,23.2,97.8,0.487804878,0.01552948,0.047064437,0.088800829,-0.047064437,0.071655167,-0.023330742,0.226481341,-0.007757474,0.023330742,-0.071655167,-0.106799784,-0.071655167,-0.031176373,0.055141069,0.023330742,0.136069225,0.071655167,-0.932977419,0.063331037,0.063331037,0.031176373,-0.023330742
13,14,Chicago Bulls,2006,East,1,82,41,41,242.7,36.6,82.2,0.446,6.8,18,0.379,29.8,64.1,0.465,17.7,24,0.738,11,31.7,22,6.2,4.2,14.9,24.9,97.8,0.5,0.136487206,0.136487206,0.195942896,-0.092399042,0.136487206,0.10896286,0.169165582,-0.054791563,0.033812311,-0.146656105,-0.146656105,-0.146656105,-0.026972592,0.006711466,0.195942896,0.146656105,-0.807175973,-0.076827042,0.126872686,0.230313518,0.026972592,0.006711466
14,15,Cleveland Cavaliers,2006,East,1,82,50,32,241.8,35.5,78.2,0.454,6.1,17.9,0.339,29.4,60.3,0.487,20.6,28.3,0.729,11.7,30.6,19,6.9,4.8,13.9,21.1,97.6,0.609756098,-0.134305126,-0.150201904,-0.04372941,0,0.073252565,0.200177587,-0.274862896,-0.274862896,-0.317722614,0.317722614,0.200177587,0.341208393,-0.183079269,0.134305126,0.200177587,-0.274862896,-0.073252565,0.014540033,-0.166441681,-0.317722614,0.014540033,0.317722614
15,16,Atlanta Hawks,2006,East,0,82,26,56,242.4,35.9,79.2,0.454,5.2,14.1,0.367,30.8,65.1,0.472,20.2,26.9,0.75,13,27.2,19.8,7.2,4.8,15.7,25,97.2,0.317073171,0.115468524,-0.056313304,0.03361722,0,-0.091253567,-0.10324779,0.10324779,0.10324779,0.181474101,-0.10324779,0.056313304,0.115468524,0.03361722,0.470223621,-0.421024305,-0.10324779,0.03361722,0.011177729,0.352798172,0.470223621,-0.022376397,-0.352798172
16,17,Los Angeles Clippers,2006,West,1,82,47,35,241.5,36.5,78.6,0.465,3.5,10.3,0.344,33,68.3,0.483,20.7,26.1,0.791,10.1,33,20.8,6.5,6.1,14.5,22.8,97.2,0.573170732,-0.085117178,0.053627128,0.003895242,0.085117178,-0.468473789,-0.16386468,-0.044589354,0.16386468,0.468473789,0.040238754,0.06324054,-0.027687857,0.146719582,-0.098181368,0.468473789,0.011715011,-0.091408966,0.468473789,0.007797782,-0.003895242,-0.007797782,0.053627128
17,18,Charlotte Bobcats,2006,East,0,82,26,56,242.7,36.1,83.5,0.433,5.2,15.4,0.339,30.9,68.1,0.454,19.4,26.7,0.729,12.1,27.7,20.9,10,4.3,14.2,23.9,96.9,0.317073171,0.090577622,0.013395367,0.187368792,-0.535669844,-0.036361573,-0.031659295,-0.084197095,0.061319194,0.152844002,-0.535669844,-0.036361573,0.022439017,-0.05608157,0.084197095,-0.130034471,0.036361573,0.535669844,-0.036361573,-0.013395367,0.084197095,-0.022439017,-0.140578576
18,19,Detroit Pistons,2006,East,1,82,64,18,241.8,36.4,80,0.455,6.8,17.7,0.384,29.6,62.3,0.475,17.3,23.8,0.727,11.9,28.6,24,7.1,6,11.4,18.5,96.8,0.780487805,-0.040905401,0.040905401,0.040905401,0.026867423,0.090059181,0.050693253,0.151969166,-0.066338478,-0.004428468,-0.008865231,-0.12929019,-0.111621553,-0.071897625,0.060968221,-0.090059181,0.186296346,-0.004428468,0.151969166,-0.532603821,-0.532603821,-0.031478086,0.532603821
19,20,New York Knicks,2006,East,0,82,23,59,243,34.4,75.7,0.455,3.9,10.8,0.362,30.5,64.9,0.47,22.9,31.5,0.726,12.6,28.8,17.9,6.8,3.3,17.7,26.3,95.6,0.280487805,0.110283928,-0.066052642,-0.110283928,0.021198836,-0.076352314,-0.110283928,0.01404251,0.024836725,0.048104923,-0.056728402,0.146990864,0.420233126,-0.066052642,0.102012075,-0.056728402,-0.420233126,-0.032275031,-0.420233126,0.420233126,0.420233126,-0.036095205,-0.146990864
20,21,San Antonio Spurs,2006,West,1,82,63,19,241.5,36.5,77.3,0.472,6.4,16.6,0.385,30.1,60.7,0.496,16.2,23.1,0.702,10.4,31.1,20.9,6.6,5.7,13.7,20.9,95.6,0.768292683,-0.185010158,0.116563585,-0.087462701,0.267230237,0.096919138,-0.008466674,0.35617523,-0.008466674,-0.137459236,0.290545971,-0.35617523,-0.318908753,-0.290545971,-0.137459236,0.160052906,0.069120858,-0.137459236,0.198685948,-0.160052906,-0.229443124,-0.087462701,0.35617523
21,22,Orlando Magic,2006,East,0,82,36,46,242.7,35.5,75.2,0.472,3.6,9.7,0.376,31.9,65.5,0.486,20.3,27.8,0.73,10.9,29.3,18.2,6.5,4.4,15.1,23.3,94.9,0.43902439,0.130405829,-0.06624186,-0.269757387,0.20239288,-0.269757387,-0.771211128,0.140121638,0.187212388,0.121219698,0.096058215,0.06624186,0.088282075,-0.059231082,-0.019285491,-0.045580316,-0.20239288,-0.150479308,-0.025770791,0.140121638,0.073403907,-0.088282075,-0.059231082
22,23,Indiana Pacers,2006,East,1,82,41,41,240.6,34,76.5,0.444,6.5,18.7,0.349,27.4,57.8,0.475,19.4,26.3,0.737,11,31.2,19.9,7.3,5,15.3,22.2,93.9,0.5,-0.827243347,-0.161412358,-0.130026895,-0.130026895,0.094696194,0.130026895,-0.034652926,-0.236039391,-0.289356566,-0.013769528,-0.056153748,-0.034652926,-0.048891947,0.006878321,0.150302153,-0.048891947,0.063534507,0.041730638,0.173371244,-0.094696194,-0.111671809,0.006878321
23,24,New Jersey Nets,2006,East,1,82,49,33,241.2,33.9,77,0.44,5.8,17.6,0.33,28.1,59.4,0.472,20.2,26.7,0.758,10,31,23,6.8,3.4,13.6,23.2,93.8,0.597560976,-0.290386209,-0.290386209,-0.161482313,-0.269541775,-0.009946353,0.081200772,-0.341323268,-0.290386209,-0.290386209,-0.091873672,0.050109644,0.050109644,0.113857221,-0.290386209,0.161482313,0.290386209,-0.091873672,-0.290386209,-0.233409318,0.081200772,-0.188024569,0.174463053
24,25,New Orleans/Oklahoma City Hornets,2006,West,0,82,38,44,241.5,34.5,78.4,0.44,3.7,10.8,0.339,30.9,67.6,0.457,20.1,26.5,0.758,11.2,29,18.5,7.5,3.8,13.4,21.8,92.8,0.463414634,-0.217560843,-0.161643812,-0.009956301,-0.269811345,-0.341664626,-0.314246722,-0.188212613,0.137071781,0.290676625,-0.418840696,0,-0.009956301,0.11397109,0.050159759,-0.11397109,-0.250953118,0.188212613,-0.188212613,-0.290676625,-0.161643812,-0.217560843,-0.060404675
25,26,Utah Jazz,2006,West,0,82,41,41,242.4,33.5,75.7,0.442,3.8,11.3,0.336,29.7,64.4,0.461,21.6,30.1,0.719,13.1,29,21.6,6.4,6,15.7,24.8,92.4,0.5,0.060977671,-0.222338353,-0.186308874,-0.12898628,-0.159964271,-0.148783709,-0.148783709,-0.067570555,0.067570555,-0.202564251,0.159964271,0.202564251,-0.12898628,0.709923577,-0.067570555,0.103538144,-0.222338353,0.202564251,0.186308874,0.159964271,-0.148783709,0.005902837
26,27,Memphis Grizzlies,2006,West,1,82,49,33,242.1,33.5,74.7,0.448,7.2,19.2,0.374,26.3,55.5,0.474,18,25.3,0.711,10.2,29,19.3,7.3,5.4,13.8,21.4,92.2,0.597560976,0.008890623,-0.167281989,-0.534129297,-0.041022562,0.111941258,0.097046152,0.066528484,-0.534129297,-0.534129297,-0.022374484,-0.083954951,-0.072103554,-0.129660501,-0.097046152,-0.050838448,-0.066528484,0.041022562,0.072103554,-0.072103554,-0.083954951,-0.129660501,0.077899591
27,28,Minnesota Timberwolves,2006,West,0,82,33,49,242.1,35.2,77.3,0.456,3.8,11.5,0.329,31.4,65.8,0.478,17.5,23.1,0.758,9.9,29.5,20.9,6.8,5.7,14.5,23,91.7,0.402439024,0.019756393,-0.135869233,-0.101948564,0.09115873,-0.267444256,-0.215652155,-0.415166154,0.215652155,0.215652155,0.029681052,-0.248751475,-0.371727479,0.112971207,-0.371727479,-0.049719701,0.080568884,-0.09115873,0.231592974,0.019756393,0.029681052,-0.33866716,-0.20069918
28,29,Houston Rockets,2006,West,0,82,34,48,241.8,33,76.2,0.433,5.7,17.2,0.332,27.3,59,0.463,18.3,24.1,0.759,10.4,31.3,19.3,7.2,3.9,14.5,22.7,90.1,0.414634146,-0.047018501,-0.612198694,-0.128302814,-0.612198694,-0.020457231,0.020457231,-0.148611937,-0.214137366,-0.174680168,-0.148611937,-0.082642352,-0.096225972,0.082642352,-0.082642352,0.128302814,-0.076252419,0.015309105,-0.082642352,0.010190094,-0.020457231,-0.214137366,-0.070079604
29,30,Portland Trail Blazers,2006,West,0,82,21,61,240.6,34,76.4,0.445,4.4,12.7,0.349,29.6,63.7,0.464,16.3,23.7,0.689,10.8,26.9,18.2,6.5,5.3,14.7,22.3,88.8,0.256097561,-0.427759425,-0.083464748,-0.07771977,-0.057744398,-0.057744398,-0.057744398,-0.017918688,-0.053279583,0.003556713,-0.089648571,-0.122053655,-0.103839092,-0.427759425,-0.017918688,-0.427759425,-0.112259093,-0.083464748,0.04071416,0.044783966,-0.04071416,-0.427759425,-0.427759425
