,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
12,13,Chicago Bulls*,2022,East,1,82,,,242,41.2,89.6,0.459,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.801,10.7,35.3,22.8,8.3,5.6,13.6,21.4,113,0.671875,0.179433543,0.11141965,0.11141965,-0.078970407,0.11141965,0.047142777,0.095099774,0.015674978,-0.015674978,-0.14478852,0.14478852,-0.047142777,0.457634799,0.254488414,0.078970407,-0.342522942,0.296317742,0.318772951,-0.296317742,0.14478852,0.127968539,0.395094995
13,14,Brooklyn Nets*,2022,East,1,82,,,241.6,40.6,88.5,0.458,13.8,37,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,25.4,8.8,4.9,14.4,21.5,113,0.71875,0,-0.023096141,-0.082008278,-0.119182606,0.33683324,0.218098941,0.234626663,-0.290802027,-0.290802027,-0.046366904,0.082008278,-0.082008278,0.290802027,-0.187311273,0.119182606,0.106568789,0.485348515,-0.034698529,-0.069996348,0.158837444,0.094188767,0.395917638
14,15,Cleveland Cavaliers,2022,East,0,82,,,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,25.9,8.6,6.8,15.1,20.6,114.3,0.777777778,-0.125562528,0.20956383,-0.020020307,0.599123382,-0.057024588,-0.08087728,-0.020020307,0.187637247,0.087378593,0.20956383,-0.020020307,0.057024588,-0.170949357,0.062724792,0.051460678,0.087378593,0.14543789,0.599123382,0.062724792,-0.009972454,0.094170782,0.20956383
15,16,Charlotte Hornets,2022,East,0,82,,,242.3,41.8,88.9,0.471,10.9,30.4,0.358,31,58.5,0.529,15.9,20.5,0.775,10.8,33.5,26.5,8.1,4.6,13.7,20,110.4,0.661538462,0.20441023,0.160440162,0.011653679,0.254651225,-0.220299626,-0.293736309,0.011653679,0.293736309,0.293736309,0.146736046,-0.293736309,-0.315809539,0.035048648,0.254651225,-0.1334012,0.340231991,0.120385195,-0.1076441,-0.189201302,-0.120385195,-0.1076441,0.254651225
16,17,Atlanta Hawks*,2022,East,1,82,,,242.8,42,89.5,0.47,10.7,28.7,0.371,31.4,60.8,0.517,18.4,22.8,0.809,8.8,35.6,24.5,7.2,5.5,12.3,19.2,113.2,0.428571429,0.161368049,0.139896125,0.032253763,0.103940316,-0.161368049,-0.219697426,0.130195952,0.186911086,0.219697426,-0.088139992,0.07328577,-0.019254453,0.269323236,-0.186911086,0.088139992,0.025729315,-0.095903618,0.103940316,-0.769969931,-0.130195952,0.07328577,-0.059135755
17,18,Los Angeles Clippers,2022,West,0,82,,,241.2,40.8,87.7,0.465,11.4,31.6,0.362,29.4,56.1,0.523,16.6,22.1,0.752,10.4,35.1,25.9,8.2,5.4,14.2,20.6,109.6,0.6,-0.24067454,0.038264229,-0.417675601,0.2188029,-0.135866138,-0.263151851,0.057486332,0.135866138,0.096297235,0.057486332,-0.24067454,-0.24067454,-0.310325495,0.038264229,0.057486332,0.33527098,0.286331029,0.263151851,-0.2188029,-0.038264229,-0.2188029,0.135866138
18,19,New York Knicks,2022,East,0,82,,,241.5,42.2,88.4,0.477,10,27.5,0.363,32.2,60.9,0.529,15.1,19.1,0.787,8.8,34,25.9,7.2,5.1,13.1,19.6,109.3,0.6,-0.015583531,0.097736141,-0.035816883,0.146054246,-0.163121596,-0.466349379,0.02352519,0.466349379,0.163121596,0.048824113,-0.466349379,-0.466349379,0.035816883,-0.113206848,-0.035816883,0.068014292,-0.058086155,0.031656061,-0.097736141,-0.06295376,-0.053383943,0.0275623
19,20,New Orleans Pelicans*,2022,West,1,82,,,240.4,40.1,84.6,0.475,13.2,34.4,0.383,27,50.2,0.537,17.6,22.8,0.772,8.8,36.3,22.2,5.9,4,14.9,20,111,0.640625,-0.525082009,-0.060107184,-0.183665336,0.127464262,0.070882236,0.03103353,0.525082009,-0.095402347,-0.127464262,0.110045154,-0.004365926,-0.013130599,-0.004365926,-0.127464262,0.102454405,-0.110045154,-0.525082009,-0.164448503,0.026487982,-0.045101021,-0.013130599,0.082532889
20,21,Washington Wizards,2022,East,0,82,,,241.6,40.3,85.1,0.473,10.4,29.3,0.355,29.9,55.8,0.536,19.8,24.8,0.797,8.1,34.6,21.9,7.6,5,13.5,18.8,110.8,0.625,0,-0.066896898,-0.222227578,0.163226449,-0.204394259,-0.189063654,-0.026025627,0.122418389,0.006475837,0.141507243,0.204394259,0.151967335,0.122418389,-0.778837314,0,-0.222227578,-0.019476197,0.006475837,-0.141507243,-0.204394259,-0.039288775,0.081539813
21,22,San Antonio Spurs,2022,West,0,82,,,243.1,40,90,0.444,12.9,37.9,0.34,27.1,52.2,0.519,18,24.1,0.744,10.8,37.6,24,6.5,4.6,15.5,20.7,110.8,0.46875,0.38717535,-0.180299155,0.129427892,-0.259088835,0.141515548,0.259088835,-0.259088835,-0.180299155,-0.166884186,-0.094947011,0.051785902,0.194314328,-0.224614007,0.224614007,0.432419205,-0.030914507,-0.300100149,-0.094947011,0.278558431,0.010279077,-0.06236295,0.010279077
22,23,Los Angeles Lakers,2022,West,0,82,,,241.9,39.3,85.7,0.459,12,32.7,0.367,27.3,53,0.515,16.6,22.4,0.743,9.8,32,24.1,7.4,4.5,15.3,19.7,107.2,0.303030303,0.076300498,-0.36716978,-0.36716978,-0.063359576,-0.050542892,-0.063359576,0.173142975,-0.173142975,-0.14396321,-0.204181271,-0.158353839,-0.116166797,-0.316992813,-0.158353839,-0.36716978,0.012576356,-0.116166797,-0.18839391,0.237741798,-0.173142975,-0.237741798,-0.316992813
23,24,Sacramento Kings,2022,West,0,82,,,241.9,40,89.3,0.447,9.6,28.4,0.337,30.4,61,0.499,16.3,23.5,0.694,12,34.5,22.1,7.6,4.7,14.3,22.2,105.8,0.318181818,0.023380991,-0.067597394,0.011590404,-0.078372716,-0.463490865,-0.162121733,-0.11251294,0.084211829,0.463490865,-0.11251294,-0.062567881,0.035597341,-0.463490865,0.463490865,-0.011590404,-0.11251294,-0.011590404,-0.019415465,-0.035597341,0.132248995,-0.162121733,-0.084211829
24,25,Portland Trail Blazers,2022,West,0,82,,,242.3,40.4,87.8,0.459,12.6,34.7,0.364,27.7,53.2,0.522,15.6,20.3,0.769,9.6,32.9,23.4,7.6,4.2,14.4,21.9,109,0.4375,0.234819586,-0.081220803,-0.234819586,-0.067445374,0.138294457,0.123657916,0.123657916,-0.123657916,-0.123657916,0,-0.390847049,-0.459406086,-0.067445374,-0.253072789,-0.314158662,-0.184308253,-0.040262705,-0.292534748,-0.081220803,0.292534748,-0.217348081,-0.081220803
25,26,Indiana Pacers,2022,East,0,82,,,241.9,40.3,87.9,0.458,11.2,31.8,0.351,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,23.1,6.9,3.2,16.5,18.3,106.9,0.292307692,0.026665167,-0.045402712,-0.060509255,-0.045402712,-0.050311637,-0.040597468,-0.060509255,0.013218433,0.02214263,-0.040597468,-0.528594409,-0.184893917,-0.040597468,0.096040516,-0.065839086,-0.083084972,-0.096040516,-0.528594409,0.528594409,-0.184893917,-0.096040516,-0.184893917
26,27,Oklahoma City Thunder,2022,West,0,82,,,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,23.2,10,4.1,15.5,21.8,106.8,0.338461538,-0.065912342,-0.122842113,-0.021037699,-0.106455351,0.010479234,0.072068092,-0.091819,-0.059922465,-0.037208985,-0.122842113,-0.179636665,-0.141858438,-0.059922465,0.042735545,-0.629569646,-0.084987304,0.629569647,-0.141858438,0.141858438,0.098956355,-0.131943367,-0.098956355
27,28,Detroit Pistons,2022,East,0,82,,,240.4,39.2,88.8,0.442,10.9,32,0.341,28.3,56.8,0.498,17,22.1,0.77,10.4,34.2,24,8.4,5.7,12.6,17.6,106.4,0.461538462,-0.622759304,-0.177693453,-0.005178088,-0.151175537,-0.097885899,-0.036806479,-0.113149371,-0.026087163,0.059274256,-0.177693453,-0.036806479,-0.065199338,-0.015573192,0.010365876,-0.036806479,-0.015573192,0.113149371,0.140323891,-0.2178313,-0.622759304,-0.151175537,-0.005178088
28,29,Orlando Magic,2022,East,0,82,,,241.9,38.6,88.2,0.438,10.4,31.3,0.334,28.2,56.9,0.495,18.7,23.2,0.803,10,32.9,25.6,8.2,4.6,14.9,20.1,106.3,0.230769231,0.036875362,-0.255690515,-0.069576159,-0.255690515,-0.191838823,-0.114898529,-0.255690515,-0.043203468,0.083678484,-0.255690515,0.09867902,0.024426937,0.208576686,-0.043203468,-0.142632357,0.069576159,0.091049127,-0.056142396,0.036875362,-0.043203468,-0.208576686,-0.730995258
29,30,Houston Rockets,2022,West,0,82,,,242.3,37.3,85.9,0.434,12.1,34.3,0.352,25.2,51.6,0.489,16.2,21.6,0.748,11,31.8,23.8,6.6,4.1,14.6,18.8,102.9,0.353846154,0.062052822,-0.425473741,-0.089169544,-0.425473741,-0.003537708,0.017822942,-0.036545339,-0.425473741,-0.077304483,-0.425473741,-0.071944314,-0.066876367,-0.066876367,0.111659249,-0.121401475,-0.032677524,-0.089169544,-0.095870315,-0.010639719,-0.111659249,-0.425473741,-0.057435847
